Giá thực tế,Giá dự đoán
23340,23297
23340,23295
23320,23295
23310,23280
23300,23270
23290,23260
23290,23250
23290,23247
23310,23246
23295,23259
23280,23251
23280,23239
23280,23237
23280,23235
23280,23235
23280,23234
23290,23234
23290,23241
23270,23242
23280,23229
23280,23234
23280,23234
23320,23234
23360,23262
23305,23297
23320,23266
23320,23273
23320,23274
23320,23274
23310,23274
23310,23267
23310,23265
23290,23265
23290,23250
23290,23247
23290,23246
23290,23245
23290,23244
23290,23244
23280,23244
23280,23237
23280,23235
23280,23235
23290,23234
23290,23241
23300,23243
23300,23250
23300,23252
23300,23253
23300,23253
23280,23254
23280,23240
23285,23237
23280,23239
23320,23235
23320,23263
23320,23268
23275,23271
23290,23241
23320,23246
23300,23266
23320,23256
23320,23269
23320,23272
23310,23273
23315,23266
23325,23269
23310,23276
23310,23267
23310,23265
23310,23265
23330,23264
23320,23278
23320,23274
23320,23274
23310,23274
23310,23267
23310,23265
23300,23265
23320,23257
23330,23270
23360,23279
23360,23303
23360,23308
23360,23311
23350,23312
23350,23306
23340,23305
23340,23298
23350,23296
23350,23302
23350,23303
23360,23303
23370,23311
23380,23319
23390,23329
23410,23339
23410,23356
23410,23360
23480,23362
23520,23413
23580,23453
23560,23507
23470,23506
23470,23444
23470,23433
23480,23429
23520,23434
23510,23464
23475,23462
23470,23437
23470,23429
23470,23427
23460,23425
23470,23418
23465,23423
23470,23420
23480,23423
23480,23430
23480,23432
23485,23433
23490,23437
23495,23441
23500,23446
23520,23451
23520,23467
23520,23470
23515,23472
23520,23469
23555,23472
23580,23498
23550,23522
23550,23505
23550,23504
23550,23504
23555,23503
23570,23507
23570,23519
23570,23521
23570,23522
23570,23523
23650,23523
23800,23581
23785,23704
23700,23717
23630,23663
23630,23605
23630,23593
23630,23588
23730,23589
23800,23660
23810,23723
23810,23744
23810,23752
23810,23755
23920,23756
24010,23840
23975,23925
23900,23915
23900,23862
23900,23854
23900,23849
23900,23851
23900,23854
23880,23853
23880,23835
23920,23832
23920,23861
23920,23865
23885,23867
23920,23843
23980,23864
24045,23911
24085,23970
24085,24012
24085,24022
24190,24024
24205,24107
24140,24132
24120,24091
24190,24073
24190,24121
24190,24126
24195,24134
24200,24141
24200,24142
24220,24141
24120,24160
24120,24087
24120,24076
24150,24072
24210,24093
24240,24142
24220,24175
24210,24162
24210,24154
24210,24152
24210,24152
24245,24155
24265,24184
24270,24202
24275,24209
24275,24215
24275,24216
24290,24216
24328,24229
24350,24262
24370,24284
24360,24304
24360,24300
24360,24300
24420,24300
24390,24348
24380,24333
24420,24325
24390,24355
24390,24335
24390,24332
24385,24336
24390,24329
24410,24332
24410,24350
24350,24351
24350,24305
24350,24299
24160,24296
24150,24152
24190,24125
24190,24145
24130,24142
24130,24097
24130,24093
24200,24079
24190,24130
24100,24133
24115,24067
24075,24066
24075,24034
24075,24027
24005,24029
23950,23976
24015,23922
24050,23961
24080,23988
24080,24017
24080,24024
24075,24024
24080,24018
24045,24024
24090,23999
24110,24030
24110,24049
24110,24053
24065,24055
24090,24022
24095,24033
24090,24040
24050,24038
24050,24008
24050,24004
24060,23999
24090,24007
24080,24031
24080,24027
24070,24026
24070,24019
24070,24017
24140,24017
24175,24071
24170,24106
24160,24109
24060,24104
24060,24028
24060,24015
24060,24013
24130,24013
24140,24065
24060,24081
24080,24020
24080,24028
24080,24027
24080,24026
24155,24029
24180,24087
24190,24111
24190,24126
24190,24130
24190,24131
24175,24130
24185,24123
24215,24130
24295,24153
24290,24219
24290,24225
24290,24229
24295,24230
24370,24233
24360,24293
