Giá thực tế,Giá dự đoán
23340,23343
23340,23335
23320,23330
23310,23323
23300,23316
23290,23309
23290,23299
23290,23291
23310,23285
23295,23284
23280,23284
23280,23280
23280,23277
23280,23273
23280,23271
23280,23269
23290,23267
23290,23268
23270,23271
23280,23269
23280,23268
23280,23267
23320,23267
23360,23274
23305,23291
23320,23297
23320,23302
23320,23305
23320,23307
23310,23308
23310,23306
23310,23302
23290,23301
23290,23295
23290,23290
23290,23285
23290,23281
23290,23279
23290,23277
23280,23277
23280,23275
23280,23272
23280,23270
23290,23269
23290,23270
23300,23271
23300,23275
23300,23278
23300,23282
23300,23284
23280,23286
23280,23282
23285,23278
23280,23275
23320,23272
23320,23278
23320,23285
23275,23292
23290,23289
23320,23286
23300,23289
23320,23290
23320,23293
23320,23296
23310,23300
23315,23301
23325,23302
23310,23304
23310,23304
23310,23302
23310,23300
23330,23299
23320,23302
23320,23304
23320,23305
23310,23306
23310,23305
23310,23303
23300,23301
23320,23297
23330,23298
23360,23301
23360,23311
23360,23322
23360,23331
23350,23338
23350,23341
23340,23342
23340,23339
23350,23335
23350,23334
23350,23334
23360,23335
23370,23337
23380,23342
23390,23349
23410,23357
23410,23368
23410,23378
23480,23386
23520,23405
23580,23432
23560,23468
23470,23498
23470,23503
23470,23498
23480,23489
23520,23481
23510,23482
23475,23483
23470,23480
23470,23477
23470,23472
23460,23468
23470,23462
23465,23458
23470,23456
23480,23456
23480,23458
23480,23461
23485,23464
23490,23467
23495,23470
23500,23474
23520,23478
23520,23486
23520,23493
23515,23499
23520,23502
23555,23505
23580,23514
23550,23527
23550,23535
23550,23538
23550,23540
23555,23541
23570,23542
23570,23545
23570,23548
23570,23552
23570,23555
23650,23557
23800,23574
23785,23621
23700,23668
23630,23691
23630,23688
23630,23676
23630,23661
23730,23646
23800,23650
23810,23677
23810,23712
23810,23744
23810,23768
23920,23785
24010,23816
23975,23862
23900,23897
23900,23910
23900,23913
23900,23911
23900,23906
23900,23899
23880,23892
23880,23885
23920,23881
23920,23884
23920,23890
23885,23896
23920,23894
23980,23897
24045,23912
24085,23941
24085,23976
24085,24008
24190,24034
24205,24073
24140,24111
24120,24128
24190,24131
24190,24141
24190,24152
24195,24161
24200,24166
24200,24172
24220,24178
24120,24187
24120,24174
24120,24156
24150,24140
24210,24133
24240,24141
24220,24160
24210,24175
24210,24187
24210,24194
24210,24198
24245,24199
24265,24204
24270,24214
24275,24226
24275,24237
24275,24246
24290,24253
24328,24260
24350,24272
24370,24288
24360,24306
24360,24320
24360,24331
24420,24338
24390,24353
24380,24361
24420,24365
24390,24373
24390,24376
24390,24377
24385,24376
24390,24373
24410,24372
24410,24376
24350,24379
24350,24372
24350,24362
24160,24353
24150,24310
24190,24260
24190,24224
24130,24199
24130,24174
24130,24152
24200,24135
24190,24142
24100,24151
24115,24141
24075,24130
24075,24114
24075,24099
24005,24085
23950,24061
24015,24028
24050,24011
24080,24009
24080,24019
24080,24032
24075,24043
24080,24053
24045,24061
24090,24059
24110,24061
24110,24068
24110,24076
24065,24083
24090,24081
24095,24079
24090,24080
24050,24079
24050,24070
24050,24061
24060,24053
24090,24049
24080,24053
24080,24056
24070,24060
24070,24062
24070,24062
24140,24061
24175,24074
24170,24094
24160,24114
24060,24128
24060,24119
24060,24103
24060,24087
24130,24072
24140,24073
24060,24083
24080,24079
24080,24078
24080,24076
24080,24074
24155,24072
