Giá thực tế,Giá dự đoán
25010,25491
24980,25310
24980,25687
24980,25520
24980,25643
24980,25472
24980,25654
25070,25483
25070,25668
25092,25495
25092,25757
25220,25591
25220,25771
25233,25605
25233,25896
25197,25739
25197,25893
25197,25736
25197,25858
25197,25698
25197,25860
25194,25700
25194,25861
25164,25700
25164,25870
25118,25707
25118,25847
25090,25681
25090,25827
25114,25656
25114,25796
25114,25623
25114,25818
25114,25647
25114,25813
25125,25642
25125,25825
25160,25652
25160,25840
25170,25667
25170,25891
25197,25719
25197,25900
25130,25729
25130,25923
25130,25755
25130,25857
25130,25683
25130,25865
25116,25692
25116,25862
25160,25690
25160,25844
25180,25670
25180,25881
25184,25712
25184,25893
25190,25724
25190,25899
25190,25730
25190,25905
25190,25737
25190,25905
25200,25737
25200,25908
25205,25739
25205,25923
25200,25755
25200,25929
25200,25761
25200,25926
25200,25758
25200,25918
25200,25750
25200,25917
25200,25749
25200,25916
25197,25748
25197,25914
25200,25746
25200,25917
25200,25748
25200,25923
25175,25754
25175,25923
25160,25754
25160,25899
25160,25728
25160,25886
25160,25715
25160,25887
25149,25715
25149,25887
25170,25716
25170,25877
25172,25704
25172,25898
25176,25727
25176,25898
25164,25727
25164,25902
25164,25732
25164,25890
25164,25719
25164,25892
25157,25721
25157,25892
25170,25721
25170,25886
25165,25714
25165,25899
25171,25728
25171,25889
25177,25718
25177,25894
25177,25724
25177,25899
25177,25729
25177,25899
25185,25729
25185,25898
25183,25728
25183,25908
25191,25739
25191,25906
25219,25737
25219,25915
25240,25746
25240,25940
25240,25773
25240,25959
25240,25793
25240,25958
25230,25792
25230,25958
25223,25792
25223,25950
25236,25783
25236,25943
25225,25776
25225,25957
25238,25791
25238,25945
25238,25778
25238,25959
25238,25792
25238,25957
25243,25790
25243,25958
25251,25791
25251,25962
25251,25796
25251,25971
25259,25805
25259,25974
25250,25808
25250,25985
25250,25819
25250,25976
25250,25809
25250,25977
25253,25810
25253,25975
25208,25809
25208,25977
25186,25811
25186,25934
25194,25764
25194,25915
25198,25744
25198,25924
25198,25754
25198,25926
25198,25756
25198,25926
25200,25756
25200,25926
25203,25756
25203,25930
25194,25760
25194,25933
25189,25763
25189,25925
25150,25755
25150,25921
25150,25750
25150,25883
25150,25710
25150,25886
25150,25714
25150,25885
25090,25712
25090,25879
24960,25706
24960,25816
24960,25640
24960,25694
24800,25509
24800,25704
24800,25520
24800,25542
24800,25346
24800,25554
24800,25360
24800,25549
24800,25355
24800,25548
24800,25354
24800,25546
24800,25353
24800,25546
24800,25353
24800,25544
24800,25351
24800,25547
24800,25355
24800,25550
25140,25358
25140,25553
25000,25361
25000,25881
24980,25715
24980,25698
25090,25521
25090,25701
25110,25524
25110,25789
25110,25622
25110,25799
25110,25632
25110,25801
25200,25634
25200,25802
25340,25635
25340,25890
25380,25728
25380,26018
25300,25865
25300,26046
25220,25895
25220,25967
25220,25809
25220,25896
25220,25734
25220,25903
25280,25741
25280,25942
25340,25776
25340,25980
25340,25820
25340,26030
25350,25873
25350,26038
25320,25879
25320,26051
25320,25892
25320,26020
25320,25859
25320,26025
25310,25864
25310,26038
25330,25875
25330,26047
25360,25882
25360,26072
25380,25908
25380,26087
25370,25926
25370,26093
25370,25934
25370,26082
25370,25922
25370,26084
25420,25924
25420,26092
25390,25932
25390,26150
25320,25992
25320,26116
25300,25956
25300,26052
25300,25887
25300,26033
25330,25868
25330,26032
25330,25867
25330,26059
25340,25896
25340,26055
25290,25891
25290,26068
25280,25905
25280,26022
25320,25855
25320,26019
25350,25852
25350,26057
25350,25893
25350,26084
25350,25921
25350,26084
25360,25921
25360,26091
25350,25928
25350,26097
25370,25935
25370,26078
25380,25915
25380,26096
25400,25936
25400,26105
25400,25945
25400,26128
25400,25969
25400,26127
25450,25967
25450,26128
25450,25968
25450,26170
25390,26015
25390,26165
25390,26009
25390,26113
25400,25952
25400,26122
25400,25961
25400,26129
25400,25970
25400,26128
25380,25968
25380,26128
25460,25968
25460,26107
25460,25945
25460,26190
25620,26034
25620,26183
25600,26027
25600,26346
25600,26201
25600,26314
25600,26166
25600,26323
25600,26174
25600,26331
25780,26181
25780,26331
25822,26182
25822,26501
25610,26365
25610,26526
25560,26391
25560,26319
25560,26169
25560,26289
25560,26137
25560,26285
25640,26133
25640,26278
25650,26126
25650,26365
25650,26217
25650,26367
25700,26219
25700,26387
25760,26238
25760,26434
25760,26288
25760,26490
25760,26348
25760,26488
25700,26345
25700,26494
25755,26351
25755,26461
25781,26311
25781,26524
25814,26379
25814,26515
25835,26373
