ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2/5/2020,INR,INDIAN RUPEE,-,325.79,338.57
2/5/2020,KRW,KOREAN WON,17.83,18.77,20.57
2/5/2020,KWD,KUWAITI DINAR,-,76196.29,79185.98
2/5/2020,MYR,MALAYSIAN RINGGIT,-,5579.07,5696.69
2/5/2020,NOK,NORWEGIAN KRONER,-,2465.08,2567.91
2/5/2020,RUB,RUSSIAN RUBLE,-,366.92,408.85
2/5/2020,SAR,SAUDI RIAL,-,6174.34,6416.61
2/5/2020,SEK,SWEDISH KRONA,-,2375.78,2464.99
2/6/2020,USD,US DOLLAR,23130,23160,23300
2/6/2020,EUR,EURO,25009.28,25261.9,26152
2/6/2020,GBP,POUND STERLING,29683.05,29982.88,30310.31
2/6/2020,JPY,YEN,204.33,206.39,213.66
2/6/2020,AUD,AUSTRALIAN DOLLAR,15359.53,15514.68,15841.74
2/6/2020,SGD,SINGAPORE DOLLAR,16484.45,16650.96,16866.5
2/6/2020,THB,THAILAND BAHT,658.69,731.88,765.47
2/6/2020,CAD,CANADIAN DOLLAR,17126.17,17299.16,17663.84
2/6/2020,CHF,SWISS FRANC,23369.69,23605.75,24103.39
2/6/2020,HKD,HONGKONG DOLLAR,2939.24,2968.93,3013.38
2/6/2020,CNY,YUAN RENMINBI,3259.23,3292.15,3361.55
2/6/2020,DKK,DANISH KRONE,-,3355.05,3481.05
2/6/2020,INR,INDIAN RUPEE,-,325.42,338.19
2/6/2020,KRW,KOREAN WON,17.94,18.88,20.68
2/6/2020,KWD,KUWAITI DINAR,-,76196.29,79185.98
2/6/2020,MYR,MALAYSIAN RINGGIT,-,5576.36,5693.92
2/6/2020,NOK,NORWEGIAN KRONER,-,2471.32,2574.4
2/6/2020,RUB,RUSSIAN RUBLE,-,368.5,410.61
2/6/2020,SAR,SAUDI RIAL,-,6174.67,6416.95
2/6/2020,SEK,SWEDISH KRONA,-,2377.71,2467
2/7/2020,USD,US DOLLAR,23140,23170,23310
2/7/2020,EUR,EURO,24990.47,25242.9,26132.32
2/7/2020,GBP,POUND STERLING,29588.34,29887.21,30213.58
2/7/2020,JPY,YEN,204.25,206.31,213.58
2/7/2020,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
